Cancer,Articles,Country,ASR
Salivary gland cancer,0.0,Zimbabwe,0.17776287103806807
Skin cancer,4.918032786885246,Zimbabwe,2.3478115042763705
Stomach cancer,0.546448087431694,Zimbabwe,3.454636927720945
Testicular cancer,0.546448087431694,Zimbabwe,0.0670803286936106
Throat cancer,0.0,Zimbabwe,0.30186147912124767
Thyroid cancer,0.0,Zimbabwe,0.7043434512829112
Uterine cancer,0.0,Zimbabwe,2.582592654704008
Vaginal cancer,0.0,Zimbabwe,0.285091396947845
Vulvar cancer,0.0,Zimbabwe,0.8385041086701324
Anal cancer,0.16992353440951571,Argentina,0.163929051506508
Bladder cancer,1.3877088643443785,Argentina,1.7048621356676832
Brain cancer,4.248088360237893,Argentina,1.2130749811481591
Breast cancer,24.185783064287737,Argentina,23.37628274482804
Cervical cancer,4.021523647691872,Argentina,5.508016130618668
Colon cancer,2.6904559614839987,Argentina,6.2293039572473035
Colorectal cancer,5.579156046445766,Argentina,7.934166092914986
Esophageal cancer,0.4531294250920419,Argentina,1.0163601193403495
Gallbladder cancer,0.2832058906825262,Argentina,0.4262155339169208
Hodgkin lymphoma,1.8974794675729256,Argentina,0.5573587751221272
Kaposi sarcoma,0.36816765788728406,Argentina,0.14753614635585718
Kidney cancer,2.1806853582554515,Argentina,2.6556506344054296
Laryngeal cancer,0.19824412347776835,Argentina,0.6885020163273335
Leukemia,13.537241574624753,Argentina,1.7376479459689846
Liver cancer,4.75785896346644,Argentina,1.2130749811481591
Lung cancer,6.4287737184933444,Argentina,6.524376249959017
Mesothelioma,0.4531294250920419,Argentina,0.1213074981148159
Mouth cancer,0.0,Argentina,0.655716206026032
Multiple myeloma,1.6709147550269046,Argentina,0.5573587751221272
Non-Hodgkin lymphoma,1.8974794675729256,Argentina,2.1638634798859053
Ovarian cancer,1.416029453412631,Argentina,2.2294351004885087
Pancreatic cancer,1.4443500424808835,Argentina,2.5900790138028262
Penile cancer,0.05664117813650524,Argentina,0.5245729648208256
Prostate cancer,4.701217785329935,Argentina,14.655257204681813
Rectal cancer,0.48145001416029454,Argentina,1.540933084161175
Salivary gland cancer,0.08496176720475786,Argentina,0.15737188944624766
Skin cancer,10.252053242707449,Argentina,2.5245073932002224
Stomach cancer,0.42480883602378927,Argentina,2.196649290187207
Testicular cancer,0.22656471254602095,Argentina,2.786793875610636
Throat cancer,0.0,Argentina,0.38031539949509846
Thyroid cancer,3.5967148116680825,Argentina,2.622864824104128
Uterine cancer,0.6230529595015576,Argentina,2.8195796859119375
Vaginal cancer,0.08496176720475786,Argentina,0.10491459296416511
Vulvar cancer,0.19824412347776835,Argentina,0.2721222255008033
Anal cancer,0.0,Jamaica,0.2075284952587721
Bladder cancer,0.0,Jamaica,0.9578238242712558
Brain cancer,1.1173184357541899,Jamaica,0.670476676989879
Breast cancer,20.670391061452513,Jamaica,22.70042463522876
Cervical cancer,10.614525139664805,Jamaica,6.513202005044539
Colon cancer,2.793296089385475,Jamaica,4.725264199738195
Colorectal cancer,6.70391061452514,Jamaica,6.4493470834264555
Esophageal cancer,0.0,Jamaica,0.6066217553717953
Gallbladder cancer,0.0,Jamaica,0.3512020688994605
Hodgkin lymphoma,0.5586592178770949,Jamaica,0.17560103444973024
Kaposi sarcoma,0.0,Jamaica,0.0
Kidney cancer,4.4692737430167595,Jamaica,0.4150569905175442
Laryngeal cancer,0.0,Jamaica,0.4789119121356279
Leukemia,8.379888268156424,Jamaica,1.6283005012611347
Liver cancer,1.675977653631285,Jamaica,0.9258963634622139
Lung cancer,2.2346368715083798,Jamaica,4.46984451326586
Mesothelioma,0.0,Jamaica,0.019156476485425115
Mouth cancer,0.0,Jamaica,0.25861243255323907
Multiple myeloma,3.910614525139665,Jamaica,1.2132435107435906
Non-Hodgkin lymphoma,0.5586592178770949,Jamaica,2.2029947958238885
Ovarian cancer,1.675977653631285,Jamaica,1.7560103444973023
Pancreatic cancer,0.0,Jamaica,1.1813160499345488
Penile cancer,1.1173184357541899,Jamaica,0.30650362376680185
Prostate cancer,27.932960893854748,Jamaica,27.361833913348875
Rectal cancer,0.5586592178770949,Jamaica,1.5005906580249673
Salivary gland cancer,0.0,Jamaica,0.12770984323616744
Skin cancer,2.2346368715083798,Jamaica,0.7215606142843459
Stomach cancer,0.5586592178770949,Jamaica,2.2029947958238885
Testicular cancer,0.0,Jamaica,0.09258963634622137
Throat cancer,0.0,Jamaica,0.462948181731107
Thyroid cancer,0.5586592178770949,Jamaica,0.9897512850802976
Uterine cancer,1.1173184357541899,Jamaica,8.109575045496632
Vaginal cancer,0.0,Jamaica,0.09897512850802977
Vulvar cancer,0.5586592178770949,Jamaica,0.11813160499345488
Anal cancer,0.0,Guinea-Bissau,0.14815860025398617
Bladder cancer,0.0,Guinea-Bissau,1.1288274305065613
Brain cancer,0.0,Guinea-Bissau,1.6932411457598417
Breast cancer,0.0,Guinea-Bissau,19.190066318611542
Cervical cancer,100.0,Guinea-Bissau,24.199238041484403
Colon cancer,0.0,Guinea-Bissau,1.5521377169465218
Colorectal cancer,0.0,Guinea-Bissau,2.751516861859743
Esophageal cancer,0.0,Guinea-Bissau,0.6702412868632708
Gallbladder cancer,0.0,Guinea-Bissau,0.0
Hodgkin lymphoma,0.0,Guinea-Bissau,0.10582757160999011
Kaposi sarcoma,0.0,Guinea-Bissau,0.22576548610131225
Kidney cancer,0.0,Guinea-Bissau,0.5996895724566107
Laryngeal cancer,0.0,Guinea-Bissau,0.22576548610131225
Leukemia,0.0,Guinea-Bissau,0.5432482009312826
Liver cancer,0.0,Guinea-Bissau,9.383378016085791
Lung cancer,0.0,Guinea-Bissau,1.4815860025398617
Mesothelioma,0.0,Guinea-Bissau,0.0
Mouth cancer,0.0,Guinea-Bissau,0.7760688584732609
Multiple myeloma,0.0,Guinea-Bissau,0.23987582898264426
Non-Hodgkin lymphoma,0.0,Guinea-Bissau,1.975448003386482
Ovarian cancer,0.0,Guinea-Bissau,2.8220685762664033
Pancreatic cancer,0.0,Guinea-Bissau,0.6631861154226047
Penile cancer,0.0,Guinea-Bissau,0.0
Prostate cancer,0.0,Guinea-Bissau,20.318893749118104
Rectal cancer,0.0,Guinea-Bissau,1.1288274305065613
Salivary gland cancer,0.0,Guinea-Bissau,0.22576548610131225
Skin cancer,0.0,Guinea-Bissau,1.862565260335826
Stomach cancer,0.0,Guinea-Bissau,3.809792577959644
Testicular cancer,0.0,Guinea-Bissau,0.0
Throat cancer,0.0,Guinea-Bissau,0.042331028643996044
Thyroid cancer,0.0,Guinea-Bissau,0.26809651474530827
Uterine cancer,0.0,Guinea-Bissau,1.6932411457598417
Vaginal cancer,0.0,Guinea-Bissau,0.14815860025398617
Vulvar cancer,0.0,Guinea-Bissau,0.12699308593198813
Anal cancer,0.0,Sierra Leone,0.06736274840013473
Bladder cancer,2.2222222222222223,Sierra Leone,0.15156618390030313
Brain cancer,2.2222222222222223,Sierra Leone,0.016840687100033683
Breast cancer,31.11111111111111,Sierra Leone,11.788480970023578
Cervical cancer,33.333333333333336,Sierra Leone,27.787133715055578
Colon cancer,0.0,Sierra Leone,0.1178848097002358
Colorectal cancer,15.555555555555555,Sierra Leone,0.4041764904008084
Esophageal cancer,0.0,Sierra Leone,0.016840687100033683
Gallbladder cancer,0.0,Sierra Leone,0.016840687100033683
Hodgkin lymphoma,0.0,Sierra Leone,0.0
Kaposi sarcoma,0.0,Sierra Leone,0.0
Kidney cancer,2.2222222222222223,Sierra Leone,0.06736274840013473
Laryngeal cancer,0.0,Sierra Leone,0.0
Leukemia,4.444444444444445,Sierra Leone,0.08420343550016841
Liver cancer,0.0,Sierra Leone,9.936005389019872
Lung cancer,0.0,Sierra Leone,2.189289323004379
Mesothelioma,0.0,Sierra Leone,0.0
Mouth cancer,0.0,Sierra Leone,0.06736274840013473
Multiple myeloma,0.0,Sierra Leone,0.0
Non-Hodgkin lymphoma,0.0,Sierra Leone,1.0778039744021557
Ovarian cancer,0.0,Sierra Leone,4.5469855170090945
Pancreatic cancer,0.0,Sierra Leone,1.0946446615021894
Penile cancer,0.0,Sierra Leone,0.0
Prostate cancer,2.2222222222222223,Sierra Leone,35.702256652071405
Rectal cancer,0.0,Sierra Leone,0.2020882452004042
Salivary gland cancer,0.0,Sierra Leone,0.0
Skin cancer,6.666666666666667,Sierra Leone,0.1178848097002358
Stomach cancer,0.0,Sierra Leone,4.378578646008758
Testicular cancer,0.0,Sierra Leone,0.0
Throat cancer,0.0,Sierra Leone,0.0
Thyroid cancer,0.0,Sierra Leone,0.06736274840013473
Uterine cancer,0.0,Sierra Leone,0.1010441226002021
Vaginal cancer,0.0,Sierra Leone,0.0
Vulvar cancer,0.0,Sierra Leone,0.0
Anal cancer,0.06353240152477764,Hungary,0.05099114028937472
Bladder cancer,1.5036001694197374,Hungary,3.165699959632014
Brain cancer,4.595510376958916,Hungary,1.104808039603119
Breast cancer,18.91147818720881,Hungary,16.232179658784286
Cervical cancer,3.324862346463363,Hungary,2.677034865192173
Colon cancer,2.1601016518424396,Hungary,5.694010665646844
Colorectal cancer,7.793307920372723,Hungary,9.39086833662651
Esophageal cancer,0.9741634900465904,Hungary,0.6161429451632778
Gallbladder cancer,0.08470986869970351,Hungary,0.159347313404296
